Elements,Z,Molar Mass (g/mol),Price (USD/kg),CO2 footprint (kg CO2/kg),Energy footprint (MJ/kg),Water usage (L/kg),Recycling rate,World Production (tons/year) -> availability,World Reserve (tons),HHI,ESG,Supply Risk,Toxicity (1-100),Contry 1,Country 2,Country 3,Country 1,Country 2,Country 3,Mining,Refining,,
Li,3,6.94,21.14,46.2,587,474.5,0.5,499954,115000000,0.3689,3.018873,1.110118,12.5,Australia,China,Chile,China,Chile,Argentina,IEA,,,
Na,11,22.99,2.053,1.95,100.75,0,1,28197000,10845000000,0.309629,0,0.854697,0,,,,,,,,,,
C,6,12.01,24,16.6,210.5,262,0,1600000,280000000,0.399367,0,1.146966,0,,,,,,,,,,
O,8,15.99,3,0.837,15.05,0,0,0,0,0.441644,0,1.561871,0,,,,,,,,,,
Ni,28,58.69,18.14,15.45,206.5,228.0132902,60,3689247,350000000,0.373,3.407,1.354,74.7,Indonesia,Philippines,Russia,Indonesia,China,Russia,IEA,,,
Mn,25,54.94,0.4,5.455,75.3,243.4912632,75,20226171,1900000000,0.224,3.392,1.338,53.8,South Africa,Gabon,Australia,China,,,,Source,,
Co,27,58.93,56.29,43.3,2120,582.5316477,32,197475,25000000,0.559,3.457,1.998,85.4,Democratic Republic of Congo,Indonesia,China,China,Finland,Japan,IEA,,,
Fe,26,55.85,0.1071,2.305,21.3,47.24576544,52,1561947990,800000000000,0.204,3.449,0.766,15,Australia,Brazil,,,,,Source,,,
P,15,30.97,0.1435,14.2,232,167,1,95964000,32278800000,0.212,3.111,0.337,7.5,China,Morocco,United States,,,,,,,
F,9,18.99,1900,10.55,197,407,1,4282960,5000000000,0,2.707,0.478,40,China,Mexico,Mongolia,,,,,,,
Cr,24,52,11.53,21.15,484,474.4644231,34.2,14536362,12000000000,0.259,3.461,0.632,60.6,South Africa,Turkey,Kazakhstan,China,,,Source,Source,,
V,23,50.94,214.84,242,3715,648.519042,40,116825,63000000,0.481,3.451,1.72,22.9,China,Russia,South Africa,China,,,Mineral Commodity summaries,Source,,
Si,14,28.09,1.23,10.9,129.5,24.44606622,1,3800000,1000000000000,0.549,3.469,0.921,17.5,China,Brazil,Norway,China,,,Mineral Commodity summaries,Source,,
S,16,32.07,0.609,0.1635,2.71,0,0,82745314,5000000000,0.103,3.315,0.755,6.3,China,United States,Saudi Arabia,,,,Mineral Commodity summaries,,,
Ti,22,47.87,6.37,33.25,587.5,109.9931063,62,9044885,2000000000,0.174,3.008,0.573,7.5,China,Mozambique,South Africa,China,,,,Source,,
B,5,10.81,2500,2.775,51.05,5485,0.5,4791966,1097000000,0.44,3.82,2.233,10,Turkey,Chile,China,,,,,,,
Mg,12,24.31,2.45,23.85,385.5,979.7984369,54,1165000,2059000000,0.373,3.332,1.018,10,China,Brasil,Kazakhstan,,,,Mineral Commodity summaries,,,
Zn,30,65.38,3.2295,3.71,45.4,344,32.8,12521588,1900000000,0.167,3.291,0.392,35.7,China,Peru,Australia,,,,Mineral Commodity summaries,,,
Ca,20,40.08,63.35,9.27,148,0,0,172258000,1000000000000,0,3.387,0.589,3.8,,,,,,,,,,
Pt,78,195.08,76580,41400,1120000,196003.9984,60,178795,100000,0.662,3.641,3.534,30,South Africa,Zimbabwe,Russia,,,,Mineral Commodity summaries,,,
