battery_id,battery_formula,working_ion,elements,formula_charge,formula_discharge,max_delta_volume,average_voltage,capacity_grav,energy_grav,stability_charge,stability_discharge,material_ids,fields_not_requested
mp-28_Li,Li0-3Ce,Li,['Ce'],Ce,Li3Ce,2.951182744876676,-0.444845514999999,499.59576880738456,-222.24293706694186,0.0,0.33363413625000005,"['mp-bghgm', 'mp-bc', 'mp-cplhv']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-2074_Li,Li0-3Sb,Li,['Sb'],Sb,Li3Sb,1.5692369833246391,1.015952616666667,563.9132535862739,572.9091455539888,0.328350750000001,0.0,"['mp-psw', 'mp-dbu']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-568806_Li,Li0-0.17C,Li,['C'],C,LiC6,0.025414176790462,0.08440476333333201,339.23692548546035,28.633212409527772,0.011936282499998,0.002406076904762,"['mp-bgjle', 'mp-bjzkj', 'mp-cgcvr', 'mp-cezqj']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-573471_Li,Li4.25-4.4Sn,Li,['Sn'],Li17Sn4,Li22Sn5,0.009449968929355,-0.362515799999993,26.936089764614323,-9.764758129890804,0.0,0.010069883333333,"['mp-bgqip', 'mp-cqfgz']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-22902_Li,Li0-1Bi,Li,['Bi'],Bi,LiBi,0.368254555643153,0.7967957133333331,124.12609933690635,98.9031438644345,0.049545179999999,0.0,"['mp-bghqr', 'mp-bhww']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-124_Li,Li0-3Ag,Li,['Ag'],Ag,Li3Ag,2.736089112284999,0.21056543666666602,624.785870642994,131.55830967510573,0.0036091633333330004,0.0,"['mp-eu', 'mp-bxgwx']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-976060_Li,Li2-3C,Li,['C'],Li2C,Li3C,0.051919477964863,0.837677993333334,816.2796500352957,683.7794992404029,0.914417564537036,0.476393675069444,"['mp-cqxbb', 'mp-cdnwu']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-623511_Li,Li0-3Sn,Li,['Sn'],Sn,Li3Sn,1.549196527369397,0.531624186666666,576.2396238602458,306.3429213598089,0.054256834999999004,0.0,"['mp-cgexp', 'mp-bjmjf', 'mp-cpljd']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-45_Li,Li0-3Ca,Li,['Ca'],Ca,Li3Ca,1.513955895571225,-0.064930653333333,1320.2483282062967,-85.72458651267598,0.0,0.057445444166666006,"['mp-bt', 'mp-cdnrt']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-8633_Li,Li0-3Cr,Li,['Cr'],Cr,Li3Cr,5.158052135445044,-0.407694173333332,1104.1669484529702,-450.16243127152234,0.40252634000000104,0.406402214999999,"['mp-mub', 'mp-cplgb']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-8636_Li,Li0-3Nb,Li,['Nb'],Nb,Li3Nb,2.381495673405851,-0.825405963333333,706.9804076667937,-583.5458444480029,0.32016415999999903,0.6990955125,"['mp-mue', 'mp-cplga']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-80_Li,Li0-3Sb,Li,['Sb'],Sb,Li3Sb,1.900682190961946,0.9993324100000001,563.9132535862739,563.5367907373123,0.290331829999999,0.0029604249999990004,"['mp-dc', 'mp-ltz']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-867343_Li,Li0-3Cd,Li,['Cd'],Cd,Li3Cd,2.204349168650668,0.24132835666666502,603.4829205464947,145.63754149188568,0.0,0.0,"['mp-ckkoz', 'mp-cpiuw', 'mp-bxjbj']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
mp-1009747_Li,Li0-1ScSn,Li,"['Sc', 'Sn']",ScSn,LiScSn,0.028635769640029004,1.039233483333333,157.09493144899014,163.25831282374517,1.036799461964285,0.47984648566666505,"['mp-cflsl', 'mp-ckpwo']","['builder_meta', 'battery_type', 'thermo_type', 'num_steps', 'max_voltage_step', 'last_updated', 'framework', 'framework_formula', 'nelements', 'chemsys', 'formula_anonymous', 'warnings', 'capacity_vol', 'energy_vol', 'fracA_charge', 'fracA_discharge', 'id_charge', 'id_discharge', 'host_structure', 'adj_pairs', 'entries_composition_summary', 'electrode_object']"
